Time,Country,GDP,HCI,Pop,CO2
1990,Argentina,141000000000, ,32618651,112148
1990,Australia,311000000000, ,17065100,263705
1990,Brazil,462000000000, ,149003223,208887
1990,Canada,594000000000, ,27691138,435181
1990,China,361000000000, ,1135185000,2442431
1990,France,1270000000000, ,58235697,375691
1990,Germany,1760000000000, ,79433029, 
1990,India,321000000000, ,873277798,619155
1990,Indonesia,106000000000, ,181413402,149566
1990,Italy,1180000000000, ,56719240,417550
1990,Japan,3130000000000, ,123537000,1096180
1990,Mexico,261000000000, ,83943132,318428
1990,Russian Federation,517000000000, ,148292000, 
1990,Saudi Arabia,118000000000, ,16233785,185803
1990,South Africa,116000000000, ,36800509,313305
1990,Turkey,151000000000, ,53921760,145859
1990,United Kingdom,1090000000000, ,57247586,555925
1990,United States,5960000000000, ,249623000,4823403
1991,Argentina,190000000000, ,33079000,117098
1991,Australia,325000000000, ,17284000,261472
1991,Brazil,603000000000, ,151648011,219331
1991,Canada,610000000000, ,28037420,426780
1991,China,383000000000, ,1150780000,2565595
1991,France,1270000000000, ,58559311,390690
1991,Germany,1860000000000, ,80013896,929973
1991,India,270000000000, ,891273209,658190
1991,Indonesia,117000000000, ,184591903,179731
1991,Italy,1240000000000, ,56758521,423894
1991,Japan,3580000000000, ,123921000,1099381
1991,Mexico,313000000000, ,85512623,331959
1991,Russian Federation,518000000000, ,148624000, 
1991,Saudi Arabia,132000000000, ,16772694,267768
1991,South Africa,124000000000, ,37718950,326411
1991,Turkey,150000000000, ,54840590,148620
1991,United Kingdom,1140000000000, ,57424897,566830
1991,United States,6160000000000, ,252981000,4820847
1992,Argentina,229000000000, ,33529326,121352
1992,Australia,325000000000, ,17495000,267984
1992,Brazil,401000000000, ,154259380,220706
1992,Canada,592000000000, ,28371264,440979
1992,China,427000000000, ,1164970000,2690456
1992,France,1400000000000, ,58851217,365893
1992,Germany,2120000000000, ,80624598,891976
1992,India,288000000000, ,909307016,699088
1992,Indonesia,128000000000, ,187739786,202576
1992,Italy,1320000000000, ,56797087,420535
1992,Japan,3910000000000, ,124229000,1123847
1992,Mexico,363000000000, ,87075138,334698
1992,Russian Federation,460000000000, ,148689000,2078668
1992,Saudi Arabia,137000000000, ,17282691,285535
1992,South Africa,135000000000, ,38672607,301688
1992,Turkey,158000000000, ,55748948,153108
1992,United Kingdom,1180000000000, ,57580402,556280
1992,United States,6520000000000, ,256514000,4909534
1993,Argentina,237000000000, ,33970111,117927
1993,Australia,312000000000, ,17667000,277398
1993,Brazil,438000000000, ,156849078,230739
1993,Canada,577000000000, ,28684764,445581
1993,China,445000000000, ,1178440000,2878694
1993,France,1320000000000, ,59106768,359916
1993,Germany,2070000000000, ,81156363,877645
1993,India,279000000000, ,927403860,723697
1993,Indonesia,158000000000, ,190851175,218601
1993,Italy,1060000000000, ,56831821,411918
1993,Japan,4450000000000, ,124536000,1109887
1993,Mexico,501000000000, ,88625440,339469
1993,Russian Federation,435000000000, ,148520000,1938446
1993,Saudi Arabia,133000000000, ,17763298,313818
1993,South Africa,134000000000, ,39633750,321050
1993,Turkey,180000000000, ,56653804,159137
1993,United Kingdom,1060000000000, ,57718614,545712
1993,United States,6860000000000, ,259919000,5028674
1994,Argentina,257000000000, ,34402672,122408
1994,Australia,322000000000, ,17855000,278120
1994,Brazil,558000000000, ,159432716,242154
1994,Canada,578000000000, ,29000663,456850
1994,China,564000000000, ,1191835000,3058241
1994,France,1390000000000, ,59327192,338119
1994,Germany,2210000000000, ,81438348,865559
1994,India,327000000000, ,945601831,764731
1994,Indonesia,177000000000, ,193917462,221413
1994,Italy,1100000000000, ,56843400,407378
1994,Japan,4910000000000, ,124961000,1173315
1994,Mexico,528000000000, ,90156400,352780
1994,Russian Federation,395000000000, ,148336000,1698378
1994,Saudi Arabia,135000000000, ,18214470,307962
1994,South Africa,140000000000, ,40564059,339168
1994,Turkey,131000000000, ,57564204,156849
1994,United Kingdom,1140000000000, ,57865745,546739
1994,United States,7290000000000, ,263126000,5094354
1995,Argentina,258000000000, ,34828170,127964
