Time,Country,CO2 emissions (kg per PPP $ of GDP),CO2,CO2 emissions (metric tons per capita),"from electricity and heat production, total (% of total fuel combustion)",from gaseous fuel consumption (% of total),from gaseous fuel consumption (kt) ,from liquid fuel consumption (% of total),from liquid fuel consumption (kt), from manufacturing industries and construction (% of total fuel combustion),"from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",from residential buildings and commercial and public services (% of total fuel combustion),from solid fuel consumption (% of total),from solid fuel consumption (kt),from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Pop
1995,Argentina,0.359325091,127963.632,3.674141708,29.14997016,41.60362219,53237.506,49.14316827,62885.383,17.12848495,6.624605678,14.45135988,2.894314535,3703.67,32.65410521,2.367748188,34828170
1995,Australia,0.746445023,281860.288,15.59651881,55.41265113,13.60454829,38345.819,30.76993131,86728.217,16.1871386,1.328193447,3.406343087,54.34924022,153188.925,23.66567373,3.04071724,18072000
1995,Brazil,0.19679212,258347.484,1.594541722,13.78886352,3.672003634,9486.529,72.78714586,188043.76,25.86070613,5.985420692,8.629018092,17.18758871,44403.703,45.74038293,1.603699155,162019896
1995,Canada,0.681957209,467637.842,15.95907715,32.81726849,32.8685915,153705.972,43.96907297,205616.024,17.27295003,1.989262881,17.38655855,21.04041529,98392.944,30.53396004,1.999909806,29302311
1995,China,1.471614429,3320285.15,2.755754966,41.06744531,1.279142968,42471.194,14.11364515,468613.264,37.06409244,4.77506685,12.21649556,77.45894307,2571857.784,4.876899843,3.179102085,1204855000
1995,France,0.282669981,349160.739,5.864118291,16.27466962,19.40094731,67740.491,61.31363097,214083.127,20.28584735,3.338766956,24.5036968,16.47289875,57516.895,35.59701927,1.472896026,59541899
1995,Germany,0.448640337,864110.215,10.57946663,44.31124444,17.83742494,154135.011,38.9144688,336263.9,13.60935694,1.757928772,20.72511644,41.02781727,354525.56,19.59752069,2.568025587,81678051
1995,India,0.519657967,811562.105,0.841937014,51.61796292,4.815760342,39082.886,26.67193819,216459.343,21.99440425,5.754013113,9.567883789,64.29704268,521810.433,11.06573593,2.186327753,963922588
1995,Indonesia,0.259319421,224941.114,1.142214229,36.36541759,28.73072283,64627.208,50.66023279,113955.692,24.92285084,2.845946608,11.74136664,11.20113462,25195.957,24.12441832,1.719070985,196934260
1995,Italy,0.339807785,430483.798,7.573033273,37.40585565,23.75675077,102268.963,61.56021602,265006.756,17.08314629,2.4614694,16.39732655,10.77738215,46394.884,26.64970821,2.705257857,56844303
1995,Japan,0.403015341,1183447.243,9.434444176,42.64847932,10.29718432,121861.744,58.40906767,691240.501,22.64992372,0.358390583,12.67727695,27.48095151,325222.563,21.66592942,2.396965638,125439000
1995,Mexico,0.428036026,332816.92,3.630863982,41.84177998,17.11657118,56966.845,71.34200088,237438.25,16.93105343,1.795769812,8.741931053,6.695680917,22284.359,30.68946573,2.525560227,91663285
1995,Russian Federation,1.958846284,1631473.969,10.99555846,61.87895271,44.45041323,725196.921,23.23496821,379072.458,11.92707963,3.20157107,10.65898359,30.52458154,498000.602,12.33212101,2.56265194,148375726
1995,Saudi Arabia,0.389623478,235161.043,12.61675682,49.34766726,32.30051927,75958.238,64.15662181,150871.381,20.87464774,0,1.534286609,0,0,28.24339839,2.782758544,18638787
1995,South Africa,1.30107361,362259.263,8.742672525,65.24735322,1.0841288,3927.357,9.388697122,34011.425,14.30991338,2.163618864,4.743022137,88.27703489,319791.736,13.53994225,3.49861707,41435758
1995,Turkey,0.392714395,171974.966,2.940423779,34.00737716,7.706085547,13252.538,44.94434731,77293.026,21.91410881,5.144249769,15.74891319,37.65192546,64751.886,23.17876433,2.793225397,58486456
1995,United Kingdom,0.453875409,538117.582,9.274846236,42.05147173,27.7159173,149144.224,37.66235536,202667.756,13.46752842,2.110263199,19.72823548,32.66869284,175795.98,22.64250117,2.487245343,58019030
1995,United States,0.67187023,5132919.92,19.27654526,47.7657012,22.64231011,1162211.646,40.44786249,2076156.391,9.592996897,0.902589697,11.43010893,35.85086015,1840195.942,30.30860328,2.482889401,266278000
1996,Argentina,0.352772112,135000.605,3.830198391,30.25156225,42.65924216,57590.235,48.87138395,65976.664,17.89777279,6.593494632,13.65966992,2.297976368,3102.282,31.60551194,2.409054582,35246374
1996,Australia,0.751035902,302164.467,16.50180039,56.09789075,12.74013665,38496.166,31.05908909,93849.531,15.53880476,1.284478096,3.410627366,54.96656594,166089.431,23.66481882,3.059526039,18311000
1996,Brazil,0.208427155,284782.887,1.729996821,13.73449888,3.732890383,10630.633,72.58855796,206719.791,26.23704005,5.785728807,8.034153283,16.46643747,46893.596,46.20044725,1.678519914,164614688
1996,Canada,0.675681998,479419.913,16.1910295,32.10535413,33.65024973,161325.998,43.24264374,207313.845,17.52085044,2.048312519,17.98539389,20.96237542,100497.802,30.34008902,2.010445179,29610218
1996,China,1.371173418,3463089.131,2.844309582,46.31714187,1.285164121,44506.379,14.75678028,511040.454,33.72596263,3.103315008,10.2838003,76.88451736,2662579.364,6.569432016,3.226107326,1217550000
1996,France,0.294445688,375306.449,6.280953607,16.69402632,19.94684749,74861.805,60.93290473,228685.121,20.19977185,3.260899808,25.87852314,16.52710876,62027.305,33.96956123,1.49834631,59753100
1996,Germany,0.450452856,889614.2,10.8602336,43.98805163,19.37633965,172374.669,38.97114592,346692.848,12.45223468,2.059403709,22.44941667,39.59934048,352281.356,19.05202052,2.557423188,81914831
1996,India,0.515864209,882324.204,0.898163092,52.46165064,4.508503317,39779.616,27.58174987,243360.455,20.97331749,5.849627309,9.399643513,63.24954699,558066.062,11.31576105,2.306373732,982365243
1996,Indonesia,0.265958126,253290.691,1.267079215,36.12846089,31.21190624,79056.853,49.24500166,124733.005,23.64594015,2.9318542,11.85326746,10.88992805,27583.174,25.4404773,1.867972728,199901228
1996,Italy,0.3260633,425830.375,7.48906561,36.52145513,24.77674919,105506.924,61.30548977,261057.397,16.80233142,2.42940408,16.95558235,10.01420883,42643.543,27.29122701,2.678344483,56860281
1996,Japan,0.390759227,1204690.174,9.579507892,42.59289003,10.68817309,128759.371,57.61775467,694115.429,22.52917871,0.329264375,12.56736981,27.78230986,334690.757,21.98218939,2.389812819,125757000
